1,Rental,Active,Greenview & Warner,1575,4/13/12,"Remarkable two bedroom plus den, one bath in Wrigleyville walkup  features hardwood floors, new kitchen and bath, microwave, decorative fireplace, large bedrooms, separate living and dining rooms, laundry and more!!",2,1,0,0,0,Cats OK,yes,y,Hardwood,y,In Building,Walkup,no,yes,1200,Wrigleyville,Available: Now,,,,,,,
334,Rental,Active,School & Southport,1500,5/31/12,"Wonderful two bedroom, one bath Victorian just off Southport features newer kitchen and bath, hardwood floors, central air, spacious living/dining room combination, awesome deck, laundry, close to El, easy  parking!  Bring your cat!",2,1,0,0,0,Cats OK,no,y,Hardwood,n,In Building,Walkup,no,yes,1000,Wrigleyville,Available: 8/1/2012,,,,,,,
335,Rental,Active,Southport & Addison,2400,5/30/12,"Fabulous new construction two bedroom, two bath in Wrigleyville walkup with elevator features gourmet kitchen, dishwasher, microwave, marble bath, Jacuzzi, fireplace, in-unit laundry, central air, hardwood floors, deck, pet friendly!! ",2,2,0,0,1,Cats and Dogs OK,yes,y,Hardwood,y,In Unit,Walkup,no,yes,1700,Wrigleyville,Available: 9/1/2012,,,,,,,
462,Rental,Active,Wilson & Damen,1625,5/4/12,"Sensational two bedroom plus den, one bath in Ravenswood walkup! Large living and dining rooms, newer kitchen, dishwasher, ceramic tile bath, hardwood floors, heat included, free laundry, deck, garage available, small pets OK!",2,1,0,1,1,Cats and Dogs OK,no,y,Hardwood,y,Free,Walkup,yes,no,1300,Ravenswood,Available: 7/1/2012,,,,,,,
609,Rental,Active,Greenview & Addison,1695,5/30/12,"Classy two bedroom, one bath in Wrigleyville walkup features separate living and dining rooms, hardwood floors, large bedrooms, newer kitchen, dishwasher, laundry, deck, yard, newer bath, easy street parking, heat included!",2,1,0,0,0,No,no,y,Hardwood,y,In Building,Walkup,yes,yes,1500,Wrigleyville,Available: 8/1/2012,,,,,,,
678,Rental,Active,Erie & Noble,2100,9/29/11,"Three bedroom,den, two bath duplex in River West! 2000 SF, central air, hardwood floors, fully quipped Eurostyle kitchen, dishwasher, laundry in unit, parking included, two private decks and short walk to Blue Line!",3,2,0,0,1,Cats OK,yes,y,Hardwood,y,In Unit,Walkup,no,yes,2200,River West,Available: 9/1/2012,,,,,,,
697,Rental,Active,Augusta & Wolcott,1800,12/12/11,"Immaculate Ukrainian Village three bedroom, one bath duplex features central air, new granite/stainless kitchen,dishwasher, large living/dining rooms, hardwood floors, free laundry, balcony, and garage available, too! Pets welcome. ",3,1,0,1,1,Cats and Dogs OK,no,y,Hardwood,y,Free,Duplex,no,yes,1400,Ukrainian Village,Available: Now,,,,,,,
702,Rental,Active,Leavitt & Jackson,2100,5/31/12,"Four bedroom plus den, three bath plus den newer construction in UIC/Tri-Taylor features 2600 SF, central air, hardwood floors, ceramic tile baths, gourmet kitchen,  2 fireplaces, deck, laundry, cable, secured parking, pets OK!",4,3,0,0,1,Cats and Dogs OK,yes,y,Hardwood,y,In Building,Walkup,no,yes,2600,University Village,Available: 8/7/2012,,,,,,,
704,Rental,Active,Leavitt & Jackson,2100,5/24/12,"Four bedroom, den, 3 bath contemporary duplex in the West Loop area features hardwood floors, central air, fully equipped Chef's kitchen, laundry, rooftop deck, 2 fireplaces, wet bar, secured and gated parking, short walk to the EL!",4,3,0,0,1,Cats and Dogs OK,yes,y,Hardwood & Carpet,y,In Building,Walkup,no,yes,2600,West Loop,Available: 7/21/2012,,,,,,,
707,Rental,Active,Leavitt & Jackson,1500,4/24/12,"Three bedroom, two bath new construction walkup in the West Loop/UIC area!  Short walk to the Blue Line, with hardwood floors, fireplace, central air, queen size bedrooms, laundry, cable, pets welcome, and secured parking!",3,2,0,1,1,Cats and Dogs OK,yes,y,Hardwood,y,In Building,Walkup,no,yes,1500,West Loop,Available: 6/15/2012,,,,,,,
1568,Rental,Active,Greenview & Addison,1395,5/30/12,"Magnificent one bedroom, one bath gut rehab in Wrigleyville walkup features separate living and dining rooms, oak/cherry hardwood floors, AC unit, newer kitchen, dishwasher, laundry, deck, yard, new bath, garage, skylights!",1,1,0,0,0,No,no,y,Hardwood,y,In Building,Walkup,yes,yes,900,Wrigleyville,Available: 8/1/2012,,,,,,,
2039,Rental,Active,Addison & Damen,1700,5/30/12,"Awesome two bedroom plus den, one bath in St. Ben's walkup features hardwood floors, large bedrooms, large separate living and dining rooms, newer kitchen, dishwasher, newer bath, hardwood floors, laundry, deck and large yard!",2,1,0,1,1,No,no,y,Hardwood,y,In Building,Walkup,no,yes,1200,St. Bens,Available: 8/1/2012,,,,,,,
2564,Rental,Active,Melrose & Southport,1950,5/30/12,"Charming two bedroom, one bath in Lakeview walkup features large combination living and dining rooms, new kitchen, dishwasher, new bath, large bedrooms, hardwood floors, great closet space,  parking available, and heat included!",2,1,0,0,1,No,no,n,Hardwood,y,In Building,Walkup,yes,yes,1300,Lakeview,Available: 8/1/2012,,,,,,,
2863,Rental,Active,Victoria & Ridge,1400,5/31/12,"Fabulous two bedroom, one bath in Andersonville walkup! Large living and dining rooms, sun porch, updated kitchen, dishwasher, newer bath, sanded hardwood floors, on-site laundry, heat included, fireplace, parking available, deck!",2,1,0,0,1,Cats OK,yes,y,Hardwood,y,In Building,Walkup,yes,yes,1450,Andersonville,Available: Now,,,,,,,
3399,Rental,Active,1322 S. Prairie,2200,2/3/12,"Amazing new construction fully furnished two bedroom, two bath loft at Museum Park!  Hardwood floors, stunning skyline views, deck, hardwood floors, tastefully furnished throughout, doorman, small pets welcome, custom painted, garage!",2,2,0,1,1,Cats and Dogs OK,no,y,Hardwood,y,In Unit,Condo,no,yes,1350,South Loop,Available: Now,,,,,,,
3494,Rental,Active,Sheffield & Grace,1500,5/30/12,"Walk out your front door and be at Wrigley in this two bedroom, den, one bath walkup features separate living and dining rooms, newer kitchen, newer bath, hardwood floors, free laundry, easy parking, rooftop deck, fireplace!",2,1,0,0,0,Cats OK,yes,y,Hardwood,y,Free,Walkup,no,no,1400,Wrigleyville,Available: 8/1/2012,,,,,,,
3794,Rental,Active,Marshfield & Byron,1450,3/14/12,"Sensational two bedroom, one bath rehab in Lakeview features newer kitchen and bath, dishwasher, hardwood floors, separate living and dining rooms, beautiful sun room, laundry, ceiling fans, backyard, cats OK, heat included!",2,1,0,0,0,Cats OK,no,n,Hardwood,y,In Building,Walkup,yes,no,1150,Lakeview,Available: Now,,,,,,,
3922,Rental,Active,Southport & Wellington,1900,5/30/12,"Dazzling urban loft with over 3000 SF, three bedrooms, 1.5 baths in Lakeview offers high vintage tin ceilings, updated Eurostyle kitchen, dishwasher, newer baths, laundry, central air, great closet space, walk to shops on Southport!",3,1,1,0,0,Cats OK,no,n,Carpeting,y,In Building,Walkup,no,yes,3000,Lakeview,Available: 7/1/2012,,,,,,,
4149,Rental,Active,Clifton & School,1195,6/1/12,"Stunning two bedroom, one bath gut rehab in Lakeview walkup features large combination living and dining rooms, new granite kitchen, dishwasher, new bath, hardwood floors, central air, gas fireplace, laundry, pet friendly, too!",2,1,0,0,0,Cats and Dogs OK,yes,n,Hardwood,y,In Building,Walkup,no,yes,1200,Lakeview,Available: 8/1/2012,,,,,,,
4493,Rental,Active,Berenice & Damen,1500,5/31/12,"Elegantly restored one bedroom in St. Ben's walkup offers newer kitchen with dishwasher, microwave and disposal, hardwood floors, separate dining room, newer bath, central air, deck, on-site laundry, garage available, dogs welcome!",1,1,0,1,1,Dogs OK,no,y,Hardwood,y,In Building,Walkup,no,yes,1000,St. Bens,Available: 8/1/2012,,,,,,,
4663,Rental,Active,Bosworth & Addison,2195,4/27/12,"Spacious two bedroom, one bath Wrigleyville rehab features central air, updated granite/stainless kitchen, dishwasher, ceramic tile bath, large living/dining room, in-unit laundry, fireplace, easy street parking, great location, pets welcome!",2,1,0,0,0,Cats and Dogs OK,no,n,Hardwood,y,In Unit,Walkup,no,yes,1000,Wrigleyville,Available: 7/1/2012,yes,,,,,,
5333,Rental,Active,Lakewood & Grace,3000,5/4/12,"Terrific four bedroom, two bath gut rehab in Wrigleyville features granite kitchen countertops, dishwasher, central air, large bedrooms, new baths, hardwood floors, laundry, great closet space, woodburning fireplace, parking available!",4,3,0,0,1,No,yes,y,Hardwood,y,In Building,Walkup,no,yes,2500,Wrigleyville,Available: 7/1/2012,,,,,,,
5509,Rental,Active,California & Belmont,1400,5/23/12,"Marvelous three bedroom, one bath gut rehab in Avondale offers spacious living and formal dining rooms, new kitchen with dishwasher/microwave, central air, hardwood floors, awesome woodwork, laundry, deck, cats welcome! ",3,1,0,0,0,Cats OK,no,y,Hardwood,y,In Building,Walkup,no,yes,1400,Roscoe Village,Available: 7/1/2012,,,,,,,
5726,Rental,Active,School & Southport,1900,5/31/12,"Exceptional two bedroom, one bath gut rehab in Lakeview walkup offers new chef's kitchen, dishwasher, hardwood floors, spacious bedrooms, new bath, CA, laundry, great closet space, parking, cats welcome, steps to everything!",2,1,0,0,1,Cats OK,no,y,Hardwood,y,In Building,Walkup,no,yes,1400,Lakeview,Available: 8/1/2012,,,,,,,
5902,Rental,Active,Barry & Southport,3200,6/1/12,"Astonishing five bedroom, three bath gut rehabbed duplex in Southport Corridor features large combination living and dining rooms, granite kitchen, dishwasher, micro, stone baths, Jacuzzi, great closet space, in-unit laundry, deck!",5,3,0,0,0,No,yes,y,Hardwood,y,In Unit,Walkup,no,yes,2500,Lakeview,Available: 7/1/2012,,,,,,,
5938,Rental,Active,Lakewood & Grace,1900,5/4/12,"Brilliantly restored three bedroom, one bath in gorgeous Wrigleyville walkup features large bedrooms, gorgeous woodwork, new kitchen, dishwasher, sun porch, parking, laundry, hardwood floors, deck, storage locker, and central air!",3,1,0,0,1,Cats OK,no,y,Hardwood,y,In Building,Walkup,no,yes,1400,Wrigleyville,Available: 7/1/2012,,,,,,,
6532,Rental,Active,Cortez & Ashland,1250,5/31/12,"East Village two bedroom new construction garden apartment features tall ceilings, Berber carpeting, large living room, new Eurostyle eat-in kitchen, easy street parking, laundry, cable, one block to Wicker Park Blue Line!",2,1,0,0,0,Cats OK,no,n,Carpeting,y,In Building,Walkup,yes,yes,1000,East Village,Available: 8/1/2012,,,,,,,
6848,Rental,Active,Clybourn & North,3200,3/15/12,"Gorgeous three bedroom, 2.5 bath in Old Town! Central air, updated kitchen, newer appliances, built-in micro, disposal, hardwood floors, master suite with custom stone, Jacuzzi, 2 balconies plus rooftop deck, panoramic views, parking!",3,2,1,0,1,No,no,y,Hardwood,y,In Unit,Walkup,no,yes,2000,Old Town,Available: 7/1/2012,yes,,,,,,
6915,Rental,Active,Lincoln & Wellington,2695,5/25/12,"South Lakeview newer construction three bedroom duplex features central air, two full baths, cathedral ceilings, custom lighting, gourmet kitchen with dishwasher, fireplace,  in-unit laundry, parking included, fabulous location in Lincoln Park!",3,2,0,0,1,No,yes,n,Hardwood & Carpet,y,In Unit,Walkup,no,yes,1300,Lakeview,Available: 7/1/2012,,,,,,,
7537,Rental,Active,Hubbard & Noble,1595,4/29/12,"Three bedroom, two bath walkup in hot River West!!  This huge unit features hardwood floors, central air, enormous living/dining room, big bedrooms, good closet space, deck, in-unit laundry, short walk to the Blue Line, minutes to 90/94!",3,2,0,0,0,Cats OK,no,y,Hardwood,y,In Unit,Walkup,no,yes,1550,River West,Available: Now,,,,,,,
8058,Rental,Active,Spaulding & Armitage,1675,5/24/12,"Enormous four bedroom two bath rehab in Palmer Square  features 2100 square feet, hardwood floors, separate living and dining room, woodburning fireplace, laundry, deck, heat included, pets OK and more!!!",4,2,0,0,0,Cats and Dogs OK,yes,y,Hardwood,n,In Building,Walkup,yes,no,2100,Palmer Square,Available: 6/3/2012,,,,,,,
8142,Rental,Active,Winchester & Irving,1550,5/31/12,"Splendid two bedroom, one bath in Ravenswood walkup offers separate living and dining rooms, hardwood floors, enclosed sun porch, lots of closets, original woodwork, dishwasher, laundry, parking available, cat friendly, deck, heated!",2,1,0,0,1,Cats OK,no,y,Hardwood,y,In Building,Walkup,yes,no,1200,Ravenswood,Available: Now,,,,,,,
8172,Rental,Active,Ashland & Addison,2000,4/28/12,"Enormous Wrigleyville three bedroom rehab features beautiful hardwood floors, modern kitchen and bath, huge back deck, large bedrooms, easy street parking, close to transportation, in-unit laundry,  heat included and more!",3,1,0,0,0,No,no,y,Hardwood,n,In Unit,Walkup,yes,no,1500,Wrigleyville,Available: 7/1/2012,,,,,,,
8773,Rental,Active,Walton & Greenview,1725,5/31/12,"Three bedroom, two bath contemporary walkup in East Village!  This unit features hardwood floors, central air, open Eurostyle kitchen, dishwasher, miniblinds, laundry, fireplace, cable, parking included, and well behaved pets OK!",3,2,0,0,1,Cats and Dogs OK,yes,y,Hardwood & Carpet,y,In Building,Walkup,no,yes,1400,East Village,Available: 8/1/2012,yes,,,,,,
9416,Rental,Active,Leland & Broadway,1600,5/15/12,"Awesome two bedroom, two bath in new construction walkup features large combination living and dining rooms, hardwood floors, new kitchen, dishwasher, Jacuzzi tub, large bedrooms, deck, in unit laundry, parking, fireplace!",2,2,0,1,1,Cats OK,yes,y,Hardwood,y,In Unit,Walkup,no,yes,1500,Uptown,Available: 8/1/2012,,,,,,,
9554,Rental,Active,Pine Grove & Grace,1000,5/3/12,"Magnificent one bedroom, one bath condo in Wrigleyville features over 800 SF, modern kitchen and bath, new carpeting, great storage space, laundry, AC unit, one block to Lake, great transportation, walk to shopping and nightlife.",1,1,0,0,0,Cats OK,no,n,Carpeting,n,In Building,Condo,no,yes,800,Wrigleyville,Available: Now,,,,,,,
9836,Rental,Active,Washington & Leavitt,1400,5/30/12,"Three bedroom, two bath new construction in Tri-Taylor/University Village features central air, marble surround wood burning fireplace, hardwood floors, gourmet kitchen, huge deck, fireplace, garage parking, and pets OK!!",3,2,0,1,1,Cats and Dogs OK,yes,y,Hardwood & Carpet,y,In Building,Walkup,no,yes,1500,West Loop,Available: Now,,,,,,,
10152,Rental,Active,5 North Wabash,2595,6/16/11,"Millennium Park two bedroom, one bath fully and elegantly furnished! Over 1200  SF, tall ceilings, central air, gorgeous granite/maple kitchen, in-unit laundry, marble bath, enormous closet space & storage, great views, pets welcome!",2,1,0,0,0,Cats and Dogs OK,no,n,Carpeting,y,In Unit,Condo,no,yes,1200,Loop,Available: Now,,,,,,,
10153,Rental,Active,5 North Wabash,3495,6/16/11,"Stunning two bedroom, two bath furnished condo at 5 North Wabash, across from Millennium Park! Over 1600 SF, central air, granite/maple kitchen, upgraded appliances, marble baths, Jacuzzi, in-unit laundry, pets OK, great location!",3,2,0,0,0,Cats and Dogs OK,no,n,Carpeting,y,In Unit,Condo,no,yes,1600,Loop,Available: Now,,,,,,,
10420,Rental,Active,Ashland & Wellington,2600,6/1/12,"Sensational three bedroom, two bathroom Lakeview new construction condo building features gourmet maple kitchen with granite/stainless, marble baths, Jacuzzi, woodburning fireplace, deck, in-unit laundry, garage and more!",3,2,0,1,1,No,yes,y,Hardwood & Carpet,y,In Unit,Walkup,no,yes,1800,Lakeview,Available: 7/1/2012,,,,,,,
10421,Rental,Active,Ashland & Wellington,2650,6/1/12,"Enormous three bedroom, two bathroom Lakeview newer construction features 23X22 living/dining combination, gourmet maple kitchen with granite/stainless, marble baths, Jacuzzi, woodburning fireplace, deck, laundry, garage, elevator!",3,2,0,1,1,No,yes,y,Hardwood & Carpet,y,In Unit,Walkup,no,yes,1800,Lakeview,Available: 8/1/2012,,,,,,,
10524,Rental,Active,Damen & Belden,1400,6/1/12,"Charming two bedroom, one bath in Bucktown walkup offers spacious living and dining rooms, hardwood floors, new kitchen, dishwasher, new bath, C/A, laundry, parking included, storage, cats welcome, easy access to highway 90/94! ",2,1,0,0,1,Cats and Dogs OK,no,n,Hardwood,y,In Building,Walkup,no,yes,1200,Bucktown,Available: 8/1/2012,,,,,,,
10694,Rental,Active,Jackson & DesPlaines,2300,4/1/12,"Amazing, fully upgraded loft at the Haberdasher! Two large bedrooms, two full baths, beautiful kitchen and bath, hardwood floors, heat and central air included, garage, basic cable, and fitness center also included, doorman!",2,2,0,1,1,Cats and Dogs OK,yes,y,Hardwood,y,In Unit,Loft,yes,yes,1300,West Loop,Available: Now,,,,,,,
10907,Rental,Active,North & Damen,1900,6/1/12,"Awesome Bucktown loft features two huge bedrooms, central air, open Euro-style kitchen, dishwasher, laundry, cable, hardwood floors throughout, the very best Bucktown location, walk to restaurants, bars and Blue Line!",2,1,0,0,0,Cats OK,no,n,Hardwood,y,In Building,Loft,no,yes,1700,Bucktown,Available: 8/1/2012,,,,,,,
10930,Rental,Active,Ashland & Wrightwood,1495,6/1/12,"Awesome DePaul duplex offers two spacious bedrooms, two full marble baths, new Euro kitchen, dishwasher, hardwood floors, laundry, central air, parking included, pet friendly, woodburning fireplace and more! Walk to shopping, parks! ",2,2,0,0,1,Cats and Dogs OK,yes,n,Hardwood,y,In Building,Walkup,no,yes,1700,DePaul,Available: 8/1/2012,,,,,,,
12085,Rental,Active,Oakdale & Greenview,2300,4/28/12,"Radiant two bedroom plus den, two bath walkup in Lakeview! Newer eat-in kitchen, dishwasher, newer bath, large living/dining rooms, hardwood floors, carpeted bedrooms, in-unit laundry, central air, parking, huge deck, and more!",2,2,0,1,1,No,no,y,Hardwood,y,In Unit,Walkup,no,yes,1900,Lakeview,Available: Now,,,,,,,
12566,Rental,Active,Winnemac & Glenwood,1495,5/24/12,"Extraordinary two bedroom, one bath in Andersonville features hardwood floors, separate living and dining rooms, new kitchen, dishwasher, newer bath, central air, huge deck, laundry, easy street parking, woodburning fireplace, cats OK!",2,1,0,0,0,No,yes,y,Hardwood,y,In Building,Walkup,no,yes,1450,Andersonville,Available: Now,,,,,,,
13012,Rental,Active,Palmer & Kedzie,1500,6/1/12,"Awesome Palmer Square two bedroom, one bath features 1100 SF, eat-in kitchen, ceramic tile bath, laundry, fireplace, wired for cable/Internet, back porch, easy street parking, and short walk to the Blue Line!",2,1,0,0,0,No,yes,y,Hardwood,n,In Building,Walkup,yes,no,1100,Palmer Square,Available: 10/1/2012,,,,,,,
13057,Rental,Active,Cuyler & Sheridan,1995,4/2/12,"Exquisitely ornamented three bedroom two bath in the heart of Wrigleyville features hardwood floors throughout, gorgeous woodwork, air conditioning, new kitchen with dishwasher, two porches, wood burning fireplace, steps to the EL!",3,2,0,0,0,No,yes,y,Hardwood,y,In Building,Walkup,no,yes,2000,Wrigleyville,Available: Now,,,,,,,
13082,Rental,Active,Palmer & Kedzie,875,5/30/12,"Beautiful brand new gut rehabbed Palmer Square one bedroom, one bath features central air, large, newer eat-in kitchen, ceramic tile bath, laundry, wired for cable/Internet, back porch, easy street parking, short walk to the Blue Line!",1,1,0,0,0,No,no,n,Hardwood,n,In Building,Walkup,no,yes,700,Palmer Square,Available: 8/1/2012,,,,,,,
13243,Rental,Active,Chicago & Hoyne,1300,6/1/12,"Handsome two bedroom, one bath gut rehab in Ukrainian Village!  This unit features hardwood floors, central air, gourmet granite kitchen, marble bath, laundry room, cable ready, large bedrooms, ample closets, parking available!",2,1,0,0,1,Cats OK,no,y,Hardwood,n,In Building,Walkup,no,yes,800,Ukrainian Village,Available: Now,,,,,,,
13405,Rental,Active,North & Honore,1875,6/1/12,"Outstanding three bedroom, one bath gut-rehabbed loft in Bucktown features hardwood floors throughout, central air, laundry, maple kitchen with dishwasher, parking available, large combination living and dining room, great deck!",3,1,0,0,1,Cats OK,no,y,Hardwood,y,In Building,Loft,no,yes,1000,Bucktown,Available: 8/1/2012,,,,,,,
13500,Rental,Active,Hoyne & Argyle,1650,5/31/12,"Outstanding two bedroom, one bath in prime Lincoln Square features huge separate living and dining rooms, hardwood floors throughout, new kitchen with dishwasher, heat included, cats welcome, steps to the EL! A must see!",2,1,0,0,1,Cats OK,no,n,Hardwood,y,In Building,Walkup,yes,no,2000,Lincoln Square,Available: Now,,,,,,,
13662,Rental,Active,4180 N. Marine Drive,2100,4/29/12,"Three bedroom, two bath rehabbed condo in Buena Park hi-rise features hardwood floors, A/C, gourmet stainless/granite kitchen, upgraded bathrooms, amazing roof top deck, skyline/lake views, laundry, heat included!, dogs under 50 lbs!",3,2,0,0,0,Cats and Dogs OK,no,y,Hardwood,y,In Building,High-rise,yes,yes,1700,Buena Park,Available: Now,,,,,,,
14012,Rental,Active,Sheffield & Wellington,3200,5/16/12,"Stunning three bedroom, den, three bath gorgeous duplex in Lakeview features stainless/granite kitchen, hardwood floors, custom stone baths, large patio and deck off master bedroom, gas fireplace, in-unit laundry, garage included!",3,3,0,1,1,Cats and Dogs OK,yes,y,Hardwood & Carpet,y,In Unit,Condo,no,yes,2200,Lakeview,Available: 9/1/2012,,,,,,,
